year,site,area,box,recording_date,date_aprildays,sunrise,sunset,day_before_hatch,inc_start,inc_start_aprildays,first_offbout,activity_onset_time,activity_onset_abs,activity_onset_relative,chronotype,last_onbout_time,activity_end_abs,activity_end_relative,daylength,act_window,night_var,lognight_var,light_atnight,percentage_in,clutch_size,inc_length,hatching_date,hatchlings,avg_chickweight,var_chickweight,fledglings,meantemp,mintemp,maxtemp
2016,CASH,Forest,31CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-8,09/05/2016 01:00,39,15/05/2016 05:40,05:40:00,340,36,32.125,15/05/2016 20:10,1210,-76,982,870,0.294331651,-0.531163033,0.3,86.38888889,6,14,23/05/2016,5,20.08,1.61,5,9.14700641,-1.9,18.177
2016,CASH,Forest,31CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-7,09/05/2016 01:00,39,16/05/2016 05:22,05:22:00,322,20,,16/05/2016 19:32,1172,-116,986,850,0.191667224,-0.717452147,0.3,86.11111111,6,14,23/05/2016,5,20.08,1.61,5,10.05921474,1.9,17.176
2016,CASH,Forest,31CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-6,09/05/2016 01:00,39,17/05/2016 04:50,04:50:00,290,-10,,17/05/2016 19:08,1148,-142,990,858,0.368587706,-0.433459154,0.3,86.94444444,6,14,23/05/2016,5,20.08,1.61,5,8.763842949,-0.2,13.668
2016,CASH,Forest,31CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-5,09/05/2016 01:00,39,18/05/2016 05:32,05:32:00,332,34,,18/05/2016 18:30,1110,-182,994,778,0.339505061,-0.469153747,0.3,90,6,14,23/05/2016,5,20.08,1.61,5,11.46846474,7.2,14.4
2016,CASH,Forest,31CASH,19/05/2016,49,19/05/2016 04:57,19/05/2016 21:34,-4,09/05/2016 01:00,39,19/05/2016 05:32,05:32:00,332,35,,19/05/2016 20:56,1256,-38,997,924,0.686835022,-0.163147568,0.3,88.05555556,6,14,23/05/2016,5,20.08,1.61,5,11.71444444,7.4,17.676
2016,CASH,Forest,31CASH,20/05/2016,50,20/05/2016 04:55,20/05/2016 21:35,-3,09/05/2016 01:00,39,20/05/2016 05:38,05:38:00,338,43,,20/05/2016 19:13,1153,-142,1000,815,0.082365982,-1.084252119,0.3,92.5,6,14,23/05/2016,5,20.08,1.61,5,9.754166667,8,12.2
2016,CASH,Forest,31CASH,21/05/2016,51,21/05/2016 04:53,21/05/2016 21:37,-2,09/05/2016 01:00,39,21/05/2016 05:29,05:29:00,329,36,,21/05/2016 18:15,1095,-202,1004,766,0.079317734,-1.100629701,0.3,92.22222222,6,14,23/05/2016,5,20.08,1.61,5,10.85833333,7.9,13.1
2016,CASH,Forest,31CASH,22/05/2016,52,22/05/2016 04:52,22/05/2016 21:39,-1,09/05/2016 01:00,39,22/05/2016 05:55,05:55:00,355,63,,22/05/2016 18:15,1095,-204,1007,740,,,0.3,91.94444444,6,14,23/05/2016,5,20.08,1.61,5,10.00833333,4.8,15
2016,CASH,Forest,37CASH,10/05/2016,40,10/05/2016 05:13,10/05/2016 21:17,-12,08/05/2016 01:00,38,10/05/2016 05:33,05:33:00,333,20,18.25,10/05/2016 19:41,1181,-96,964,848,0.143339806,-0.843633188,0.35,75.55555556,5,14,22/05/2016,5,,,5,16.27573077,8.149,24.183
2016,CASH,Forest,37CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-11,08/05/2016 01:00,38,11/05/2016 05:33,05:33:00,333,22,,11/05/2016 19:03,1143,-136,968,810,0.784650828,-0.105323563,0.35,80.97222222,5,14,22/05/2016,5,,,5,16.93989744,10.659,23.683
2016,CASH,Forest,37CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-10,08/05/2016 01:00,38,12/05/2016 04:37,04:37:00,277,-33,,12/05/2016 19:15,1155,-126,971,878,0.420130448,-0.376615843,0.35,86.11111111,5,14,22/05/2016,5,,,5,14.88137821,5.6,22.182
2016,CASH,Forest,37CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-9,08/05/2016 01:00,38,13/05/2016 05:49,05:49:00,349,41,,13/05/2016 19:47,1187,-96,975,838,0.226657043,-0.644630781,0.35,85.13888889,5,14,22/05/2016,5,,,5,8.426483974,1.3,12.665
2016,CASH,Forest,37CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-8,08/05/2016 01:00,38,14/05/2016 04:45,04:45:00,285,-21,,14/05/2016 19:23,1163,-121,978,878,0.156218434,-0.80626772,0.35,83.61111111,5,14,22/05/2016,5,,,5,8.650929487,-3,17.676
2016,CASH,Forest,37CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-7,08/05/2016 01:00,38,15/05/2016 05:37,05:37:00,337,33,,,,NA,982,NA,0.620258633,-0.207427182,0.35,79.89228007,5,14,22/05/2016,5,,,5,9.14700641,-1.9,18.177
2016,CASH,Forest,37CASH,20/05/2016,50,20/05/2016 04:55,20/05/2016 21:35,-2,08/05/2016 01:00,38,20/05/2016 05:31,05:31:00,331,36,,20/05/2016 18:47,1127,-168,1000,796,0.355049164,-0.449711506,0.35,85.27777778,5,14,22/05/2016,5,,,5,9.754166667,8,12.2
2016,CASH,Forest,37CASH,21/05/2016,51,21/05/2016 04:53,21/05/2016 21:37,-1,08/05/2016 01:00,38,21/05/2016 05:41,05:41:00,341,48,,21/05/2016 19:37,1177,-120,1004,836,,,0.35,85.83333333,5,14,22/05/2016,5,,,5,10.85833333,7.9,13.1
2016,CASH,Forest,38CASH,10/05/2016,40,10/05/2016 05:13,10/05/2016 21:17,-10,05/05/2016 01:00,35,10/05/2016 05:21,05:21:00,321,8,27.4,10/05/2016 18:55,1135,-142,964,814,0.139869158,-0.85427804,0.31,80.13888889,4,15,20/05/2016,2,20.1,0.08,2,16.27573077,8.149,24.183
2016,CASH,Forest,38CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-9,05/05/2016 01:00,35,11/05/2016 05:25,05:25:00,325,14,,11/05/2016 19:31,1171,-108,968,846,0.198941263,-0.701275129,0.31,76.25,4,15,20/05/2016,2,20.1,0.08,2,16.93989744,10.659,23.683
2016,CASH,Forest,38CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-8,05/05/2016 01:00,35,12/05/2016 05:23,05:23:00,323,13,,12/05/2016 19:39,1179,-102,971,856,0.212238979,-0.673174852,0.31,78.33333333,4,15,20/05/2016,2,20.1,0.08,2,14.88137821,5.6,22.182
2016,CASH,Forest,38CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-7,05/05/2016 01:00,35,13/05/2016 05:37,05:37:00,337,29,,13/05/2016 19:25,1165,-118,975,828,0.371806466,-0.429683062,0.31,84.30555556,4,15,20/05/2016,2,20.1,0.08,2,8.426483974,1.3,12.665
2016,CASH,Forest,38CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-6,05/05/2016 01:00,35,14/05/2016 05:51,05:51:00,351,45,,14/05/2016 19:06,1146,-138,978,795,1.414567785,0.150623763,0.31,85.27777778,4,15,20/05/2016,2,20.1,0.08,2,8.650929487,-3,17.676
2016,CASH,Forest,38CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-5,05/05/2016 01:00,35,15/05/2016 05:46,05:46:00,346,42,,15/05/2016 19:02,1142,-144,982,796,4.947565307,0.694391536,0.31,87.63888889,4,15,20/05/2016,2,20.1,0.08,2,9.14700641,-1.9,18.177
2016,CASH,Forest,38CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-4,05/05/2016 01:00,35,16/05/2016 05:16,05:16:00,316,14,,16/05/2016 20:02,1182,-86,986,886,0.693554587,-0.158919352,0.31,87.22222222,4,15,20/05/2016,2,20.1,0.08,2,10.05921474,1.9,17.176
2016,CASH,Forest,38CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-3,05/05/2016 01:00,35,17/05/2016 05:32,05:32:00,332,32,,17/05/2016 19:10,1150,-140,990,818,0.298326338,-0.525308403,0.31,89.02777778,4,15,20/05/2016,2,20.1,0.08,2,8.763842949,-0.2,13.668
2016,CASH,Forest,38CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-2,05/05/2016 01:00,35,18/05/2016 05:38,05:38:00,338,40,,18/05/2016 19:10,1150,-142,994,812,0.318398271,-0.497029299,0.31,87.91666667,4,15,20/05/2016,2,20.1,0.08,2,11.46846474,7.2,14.4
2016,CASH,Forest,38CASH,19/05/2016,49,19/05/2016 04:57,19/05/2016 21:34,-1,05/05/2016 01:00,35,19/05/2016 05:34,05:34:00,334,37,,,,NA,997,NA,,,0.31,88.38526912,4,15,20/05/2016,2,20.1,0.08,2,11.71444444,7.4,17.676
2016,CASH,Forest,403CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-9,06/05/2016 01:00,36,11/05/2016 05:40,05:40:00,340,29,41.11111111,11/05/2016 19:24,1164,-115,968,824,0.177778658,-0.750120376,0.51,80.83333333,7,14,20/05/2016,6,21.15,1.07,6,16.93989744,10.659,23.683
2016,CASH,Forest,403CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-8,06/05/2016 01:00,36,12/05/2016 05:46,05:46:00,346,36,,12/05/2016 19:50,1190,-91,971,844,0.127573323,-0.894240132,0.51,83.19444444,7,14,20/05/2016,6,21.15,1.07,6,14.88137821,5.6,22.182
2016,CASH,Forest,403CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-7,06/05/2016 01:00,36,13/05/2016 05:56,05:56:00,356,48,,13/05/2016 19:00,1140,-143,975,784,0.145037306,-0.838520276,0.51,91.25,7,14,20/05/2016,6,21.15,1.07,6,8.426483974,1.3,12.665
2016,CASH,Forest,403CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-6,06/05/2016 01:00,36,14/05/2016 05:42,05:42:00,342,36,,14/05/2016 18:36,1116,-168,978,774,0.072481525,-1.139772678,0.51,90.13888889,7,14,20/05/2016,6,21.15,1.07,6,8.650929487,-3,17.676
2016,CASH,Forest,403CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-5,06/05/2016 01:00,36,15/05/2016 05:56,05:56:00,356,52,,15/05/2016 18:53,1133,-153,982,777,0.535218416,-0.271468952,0.51,88.62690707,7,14,20/05/2016,6,21.15,1.07,6,9.14700641,-1.9,18.177
2016,CASH,Forest,403CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-4,06/05/2016 01:00,36,16/05/2016 05:35,05:35:00,335,33,,16/05/2016 19:39,1179,-109,986,844,0.757005656,-0.120900876,0.51,85.27777778,7,14,20/05/2016,6,21.15,1.07,6,10.05921474,1.9,17.176
2016,CASH,Forest,403CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-3,06/05/2016 01:00,36,17/05/2016 05:41,05:41:00,341,41,,17/05/2016 19:29,1169,-121,990,828,0.621209671,-0.206761792,0.51,87.77777778,7,14,20/05/2016,6,21.15,1.07,6,8.763842949,-0.2,13.668
2016,CASH,Forest,403CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-2,06/05/2016 01:00,36,18/05/2016 05:51,05:51:00,351,53,,18/05/2016 18:33,1113,-179,994,762,0.598434898,-0.222983088,0.51,88.88888889,7,14,20/05/2016,6,21.15,1.07,6,11.46846474,7.2,14.4
2016,CASH,Forest,403CASH,19/05/2016,49,19/05/2016 04:57,19/05/2016 21:34,-1,06/05/2016 01:00,36,19/05/2016 05:39,05:39:00,339,42,,19/05/2016 19:05,1145,-149,997,806,,,0.51,87.36111111,7,14,20/05/2016,6,21.15,1.07,6,11.71444444,7.4,17.676
2016,CASH,Forest,415CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-12,07/05/2016 01:00,37,11/05/2016 06:08,06:08:00,368,57,71.58333333,11/05/2016 19:26,1166,-113,968,798,0.975809207,-0.010635089,0.51,75.41666667,8,16,23/05/2016,7,,,7,16.93989744,10.659,23.683
2016,CASH,Forest,415CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-11,07/05/2016 01:00,37,12/05/2016 06:14,06:14:00,374,64,,12/05/2016 19:32,1172,-109,971,798,1.223855357,0.087730093,0.51,86.25,8,16,23/05/2016,7,,,7,14.88137821,5.6,22.182
2016,CASH,Forest,415CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-10,07/05/2016 01:00,37,13/05/2016 06:02,06:02:00,362,54,,13/05/2016 18:42,1122,-161,975,760,1.898891239,0.278500091,0.51,86.66666667,8,16,23/05/2016,7,,,7,8.426483974,1.3,12.665
2016,CASH,Forest,415CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-9,07/05/2016 01:00,37,14/05/2016 07:02,07:02:00,422,116,,14/05/2016 19:44,1184,-100,978,762,2.561479047,0.408490808,0.51,89.58333333,8,16,23/05/2016,7,,,7,8.650929487,-3,17.676
2016,CASH,Forest,415CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-8,07/05/2016 01:00,37,15/05/2016 05:02,05:02:00,302,-2,,15/05/2016 20:27,1227,-59,982,925,2.160322966,0.334518683,0.51,85.57558946,8,16,23/05/2016,7,,,7,9.14700641,-1.9,18.177
2016,CASH,Forest,415CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-7,07/05/2016 01:00,37,16/05/2016 06:07,06:07:00,367,65,,16/05/2016 20:41,1241,-47,986,874,3.613611718,0.557941486,0.51,90.27777778,8,16,23/05/2016,7,,,7,10.05921474,1.9,17.176
2016,CASH,Forest,415CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-6,07/05/2016 01:00,37,17/05/2016 04:55,04:55:00,295,-5,,17/05/2016 20:15,1215,-75,990,920,3.5909192,0.555205633,0.51,80.83333333,8,16,23/05/2016,7,,,7,8.763842949,-0.2,13.668
2016,CASH,Forest,415CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-5,07/05/2016 01:00,37,18/05/2016 06:05,06:05:00,365,67,,18/05/2016 20:03,1203,-89,994,838,1.564765616,0.194449294,0.51,90.97222222,8,16,23/05/2016,7,,,7,11.46846474,7.2,14.4
2016,CASH,Forest,415CASH,19/05/2016,49,19/05/2016 04:57,19/05/2016 21:34,-4,07/05/2016 01:00,37,19/05/2016 06:37,06:37:00,397,100,,19/05/2016 20:09,1209,-85,997,812,1.485048386,0.171740604,0.51,87.63888889,8,16,23/05/2016,7,,,7,11.71444444,7.4,17.676
2016,CASH,Forest,415CASH,20/05/2016,50,20/05/2016 04:55,20/05/2016 21:35,-3,07/05/2016 01:00,37,20/05/2016 06:25,06:25:00,385,90,,20/05/2016 19:44,1184,-111,1000,799,0.259356318,-0.586103168,0.51,88.73435327,8,16,23/05/2016,7,,,7,9.754166667,8,12.2
2016,CASH,Forest,415CASH,21/05/2016,51,21/05/2016 04:53,21/05/2016 21:37,-2,07/05/2016 01:00,37,21/05/2016 07:10,07:10:00,430,137,,21/05/2016 19:14,1154,-143,1004,724,0.442529389,-0.354057882,0.51,91.11111111,8,16,23/05/2016,7,,,7,10.85833333,7.9,13.1
2016,CASH,Forest,415CASH,22/05/2016,52,22/05/2016 04:52,22/05/2016 21:39,-1,07/05/2016 01:00,37,22/05/2016 06:48,06:48:00,408,116,,22/05/2016 21:34,1294,-5,1007,886,,,0.51,90,8,16,23/05/2016,7,,,7,10.00833333,4.8,15
2016,CASH,Forest,426CASH,27/05/2016,57,27/05/2016 04:45,27/05/2016 21:47,-5,16/05/2016 01:00,46,27/05/2016 05:13,05:13:00,313,28,39.6,27/05/2016 18:33,1113,-194,1022,800,0.297965111,-0.525834585,0.4,93.47222222,6,16,01/06/2016,2,16.9,2.94,2,11.16666667,10.1,12.6
2016,CASH,Forest,426CASH,28/05/2016,58,28/05/2016 04:43,28/05/2016 21:48,-4,16/05/2016 01:00,46,28/05/2016 05:21,05:21:00,321,38,,28/05/2016 18:49,1129,-179,1025,808,0.593333821,-0.226700895,0.4,92.91666667,6,16,01/06/2016,2,16.9,2.94,2,12.52916667,7.1,16.9
2016,CASH,Forest,426CASH,29/05/2016,59,29/05/2016 04:42,29/05/2016 21:50,-3,16/05/2016 01:00,46,29/05/2016 05:27,05:27:00,327,45,,29/05/2016 18:15,1095,-215,1028,768,0.750439821,-0.124684129,0.4,93.47222222,6,16,01/06/2016,2,16.9,2.94,2,11.52083333,2,20.7
2016,CASH,Forest,426CASH,30/05/2016,60,30/05/2016 04:41,30/05/2016 21:51,-2,16/05/2016 01:00,46,30/05/2016 05:19,05:19:00,319,38,,30/05/2016 18:23,1103,-208,1030,784,0.547983127,-0.261232814,0.4,92.36111111,6,16,01/06/2016,2,16.9,2.94,2,13.11666667,4.2,21.6
2016,CASH,Forest,426CASH,31/05/2016,61,31/05/2016 04:40,31/05/2016 21:53,-1,16/05/2016 01:00,46,31/05/2016 05:29,05:29:00,329,49,,31/05/2016 18:55,1135,-178,1033,806,,,0.4,90.13888889,6,16,01/06/2016,2,16.9,2.94,2,13.80833333,3.8,21.3
2016,CASH,Forest,42CASH,25/05/2016,55,25/05/2016 04:47,25/05/2016 21:44,-1,12/05/2016 01:00,42,25/05/2016 05:32,05:32:00,332,45,45,25/05/2016 19:00,1140,-164,1017,808,,,0.39,86.52777778,10,14,26/05/2016,5,18.52,0.28,5,9.333333333,0.4,16.1
2016,CASH,Forest,436CASH,29/05/2016,59,29/05/2016 04:42,29/05/2016 21:50,-1,19/05/2016 01:00,49,29/05/2016 05:29,05:29:00,329,47,47,29/05/2016 19:29,1169,-141,1028,840,,,0.51,85.55555556,9,11,30/05/2016,5,17.29,1.14,5,11.52083333,2,20.7
2016,CASH,Forest,460CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-8,06/05/2016 01:00,36,11/05/2016 05:25,05:25:00,325,14,32.875,11/05/2016 19:09,1149,-130,968,824,0.58183351,-0.23520127,0.43,85.55555556,9,13,19/05/2016,7,19.77,1.15,7,16.93989744,10.659,23.683
2016,CASH,Forest,460CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-7,06/05/2016 01:00,36,12/05/2016 05:31,05:31:00,331,21,,12/05/2016 18:25,1105,-176,971,774,0.489782229,-0.309996977,0.43,83.05555556,9,13,19/05/2016,7,19.77,1.15,7,14.88137821,5.6,22.182
2016,CASH,Forest,460CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-6,06/05/2016 01:00,36,13/05/2016 05:23,05:23:00,323,15,,13/05/2016 18:55,1135,-148,975,812,0.681538511,-0.166509599,0.43,92.63888889,9,13,19/05/2016,7,19.77,1.15,7,8.426483974,1.3,12.665
2016,CASH,Forest,460CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-5,06/05/2016 01:00,36,14/05/2016 05:29,05:29:00,329,23,,14/05/2016 19:15,1155,-129,978,826,1.190120089,0.075590786,0.43,91.38888889,9,13,19/05/2016,7,19.77,1.15,7,8.650929487,-3,17.676
2016,CASH,Forest,460CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-4,06/05/2016 01:00,36,15/05/2016 05:39,05:39:00,339,35,,15/05/2016 19:19,1159,-127,982,820,0.631084997,-0.199912144,0.43,90.55555556,9,13,19/05/2016,7,19.77,1.15,7,9.14700641,-1.9,18.177
2016,CASH,Forest,460CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-3,06/05/2016 01:00,36,16/05/2016 05:47,05:47:00,347,45,,16/05/2016 19:29,1169,-119,986,822,0.930889502,-0.031101867,0.43,92.5,9,13,19/05/2016,7,19.77,1.15,7,10.05921474,1.9,17.176
2016,CASH,Forest,460CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-2,06/05/2016 01:00,36,17/05/2016 05:49,05:49:00,349,49,,17/05/2016 19:13,1153,-137,990,804,0.606982036,-0.216824162,0.43,92.08333333,9,13,19/05/2016,7,19.77,1.15,7,8.763842949,-0.2,13.668
2016,CASH,Forest,460CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-1,06/05/2016 01:00,36,18/05/2016 05:59,05:59:00,359,61,,18/05/2016 18:37,1117,-175,994,758,,,0.43,90.41666667,9,13,19/05/2016,7,19.77,1.15,7,11.46846474,7.2,14.4
2016,CASH,Forest,55CASH,10/05/2016,40,10/05/2016 05:13,10/05/2016 21:17,-9,02/05/2016 01:00,32,10/05/2016 05:21,05:21:00,321,8,16.77777778,10/05/2016 19:11,1151,-126,964,830,0.626732574,-0.202917733,0.33,80,3,17,19/05/2016,3,20.3,4,3,16.27573077,8.149,24.183
2016,CASH,Forest,55CASH,11/05/2016,41,11/05/2016 05:11,11/05/2016 21:19,-8,02/05/2016 01:00,32,11/05/2016 05:31,05:31:00,331,20,,11/05/2016 20:05,1205,-74,968,874,1.330759982,0.124099732,0.33,76.66666667,3,17,19/05/2016,3,20.3,4,3,16.93989744,10.659,23.683
2016,CASH,Forest,55CASH,12/05/2016,42,12/05/2016 05:10,12/05/2016 21:21,-7,02/05/2016 01:00,32,12/05/2016 05:27,05:27:00,327,17,,12/05/2016 19:13,1153,-128,971,826,0.879441309,-0.055793139,0.33,80.13888889,3,17,19/05/2016,3,20.3,4,3,14.88137821,5.6,22.182
2016,CASH,Forest,55CASH,13/05/2016,43,13/05/2016 05:08,13/05/2016 21:23,-6,02/05/2016 01:00,32,13/05/2016 05:27,05:27:00,327,19,,13/05/2016 19:51,1191,-92,975,864,1.95922788,0.292084952,0.33,84.16666667,3,17,19/05/2016,3,20.3,4,3,8.426483974,1.3,12.665
2016,CASH,Forest,55CASH,14/05/2016,44,14/05/2016 05:06,14/05/2016 21:24,-5,02/05/2016 01:00,32,14/05/2016 05:21,05:21:00,321,15,,14/05/2016 18:38,1118,-166,978,797,0.500271423,-0.300794305,0.33,87.77777778,3,17,19/05/2016,3,20.3,4,3,8.650929487,-3,17.676
2016,CASH,Forest,55CASH,15/05/2016,45,15/05/2016 05:04,15/05/2016 21:26,-4,02/05/2016 01:00,32,15/05/2016 05:18,05:18:00,318,14,,15/05/2016 19:00,1140,-146,982,822,0.403891267,-0.393735537,0.33,83.61111111,3,17,19/05/2016,3,20.3,4,3,9.14700641,-1.9,18.177
2016,CASH,Forest,55CASH,16/05/2016,46,16/05/2016 05:02,16/05/2016 21:28,-3,02/05/2016 01:00,32,16/05/2016 05:14,05:14:00,314,12,,16/05/2016 18:46,1126,-162,986,812,0.293826442,-0.531909124,0.33,85.13888889,3,17,19/05/2016,3,20.3,4,3,10.05921474,1.9,17.176
2016,CASH,Forest,55CASH,17/05/2016,47,17/05/2016 05:00,17/05/2016 21:30,-2,02/05/2016 01:00,32,17/05/2016 05:14,05:14:00,314,14,,17/05/2016 19:18,1158,-132,990,844,0.900358027,-0.045584759,0.33,86.38888889,3,17,19/05/2016,3,20.3,4,3,8.763842949,-0.2,13.668
2016,CASH,Forest,55CASH,18/05/2016,48,18/05/2016 04:58,18/05/2016 21:32,-1,02/05/2016 01:00,32,18/05/2016 05:30,05:30:00,330,32,,18/05/2016 20:14,1214,-78,994,884,,,0.33,84.58333333,3,17,19/05/2016,3,20.3,4,3,11.46846474,7.2,14.4
